iter	Logloss
0	0.6814815352
1	0.6699473521
2	0.6605373399
3	0.6513354253
4	0.6408502019
5	0.6328440816
6	0.6217854232
7	0.6127289146
8	0.6034024399
9	0.5931028826
10	0.5857336821
11	0.5784962255
12	0.5712114698
13	0.5641616708
14	0.5569117116
15	0.5504891189
16	0.5439350342
17	0.5384739963
18	0.5324005558
19	0.5257804532
20	0.5204988705
21	0.5145754365
22	0.5091879377
23	0.5027253259
24	0.4979852352
25	0.493765941
26	0.4890940619
27	0.4849734243
28	0.4803304308
29	0.4749946465
30	0.4705991362
31	0.466890467
32	0.4621481668
33	0.457785345
34	0.4541918098
35	0.4504373418
36	0.4464030657
37	0.4429376882
38	0.4396483412
39	0.4365930776
40	0.4327405687
41	0.4300707473
42	0.4264109026
43	0.4233611349
44	0.4207029255
45	0.4183561313
46	0.4160394262
47	0.413204557
48	0.4105118955
49	0.408810386
50	0.4058935561
51	0.4037596366
52	0.4016499003
53	0.3996358357
54	0.3972643572
55	0.3950617194
56	0.392732603
57	0.3912382014
58	0.3899849996
59	0.3885428239
60	0.3866070269
61	0.3841087911
62	0.3824240869
63	0.3801971968
64	0.3786040624
65	0.3772155752
66	0.3753613884
67	0.3738583518
68	0.3722719246
69	0.3707654405
70	0.3691147354
71	0.3682561199
72	0.3669224203
73	0.3657117593
74	0.3640793405
75	0.3626780401
76	0.3613735041
77	0.3601073895
78	0.3586437075
79	0.3575575739
80	0.3558023189
81	0.3546178404
82	0.3535351466
83	0.3526618649
84	0.3515816954
85	0.3505471717
86	0.3496689906
87	0.3483394794
88	0.346823529
89	0.345841488
90	0.3451666654
91	0.3442340636
92	0.3433727621
93	0.3425967548
94	0.34174197
95	0.3412598229
96	0.3406663742
97	0.3398185838
98	0.3386237329
99	0.3375151422
100	0.3366709516
101	0.3357571774
102	0.3349523915
103	0.3344612225
104	0.3339348048
105	0.3332885151
106	0.3325036322
107	0.3315657465
108	0.3308010007
109	0.3299739759
110	0.3291380672
111	0.3283511522
112	0.3275157226
113	0.3267999342
114	0.3261322616
115	0.3255268096
116	0.3249089931
117	0.3242481848
118	0.323683599
119	0.3231800376
120	0.3225758129
121	0.3219078236
122	0.3213373127
123	0.3207173953
124	0.3200713824
125	0.3197761024
126	0.3193201259
127	0.3189507199
128	0.3181034334
129	0.3176000979
130	0.3170130373
131	0.3165437541
132	0.3159134227
133	0.3154005085
134	0.3149557392
135	0.314531361
136	0.314056193
137	0.3135998776
138	0.3130505072
139	0.3126472234
140	0.3123190628
141	0.3118193034
142	0.3113024109
143	0.3108063275
144	0.310488729
145	0.3101634049
146	0.30978452
147	0.3093806272
148	0.3090894494
149	0.3087250808
150	0.3083142787
151	0.3079023341
152	0.3075442568
153	0.3072494409
154	0.3069835322
155	0.3066856137
156	0.3061940677
157	0.3057851179
158	0.3053985308
159	0.3050393467
160	0.3047189093
161	0.3043205886
162	0.3039621026
163	0.3036929797
164	0.3035330817
165	0.3031364299
166	0.3025916077
167	0.302368859
168	0.3018654987
169	0.3016410009
170	0.3013775167
171	0.3012596324
172	0.30099028
173	0.3006887662
174	0.3003359594
175	0.3000647978
176	0.2995710501
177	0.2992576509
178	0.2987901645
179	0.2984248615
180	0.2977493414
181	0.2975257266
182	0.2971439568
183	0.2968835902
184	0.2962835142
185	0.2960444924
186	0.2956713558
187	0.2953867498
188	0.2949287169
189	0.2947190344
190	0.2942648998
191	0.2939339858
192	0.293619514
193	0.2933485753
194	0.2931432665
195	0.2928631089
196	0.2926425371
197	0.2922631593
198	0.2918911295
199	0.2915592771
200	0.2911589741
201	0.2909173091
202	0.2905372006
203	0.2902026202
204	0.2898508937
205	0.2893153519
206	0.2890424667
207	0.2887874526
208	0.2885670435
209	0.2883990797
210	0.2879933502
211	0.2876811345
212	0.287410698
213	0.2871569125
214	0.2868955522
215	0.2866603156
216	0.2865974583
217	0.2864229473
218	0.2860902037
219	0.2858958695
220	0.2856449972
221	0.285426053
222	0.2851254827
223	0.2848255042
224	0.2845310265
225	0.2843467694
226	0.284075558
227	0.2838103686
228	0.2835988236
229	0.2834205298
230	0.2830100825
231	0.2827594637
232	0.2825078946
233	0.2822256613
234	0.2819490906
235	0.28161551
236	0.2814330899
237	0.2811549242
238	0.281015947
239	0.280828858
240	0.2804605469
241	0.2803261686
242	0.2801991368
243	0.2799291382
244	0.2798104786
245	0.279568285
246	0.2792919114
247	0.2789399608
248	0.2788190438
249	0.2786463989
250	0.2783834188
251	0.2781367563
252	0.2780295225
253	0.2778712678
254	0.2777130507
255	0.2774301368
256	0.2771881876
257	0.2769972052
258	0.2767756744
259	0.2765352353
260	0.2763154822
261	0.2760590038
262	0.2758730104
263	0.275641568
264	0.2753428087
265	0.275113557
266	0.2749696897
267	0.2748015136
268	0.2746358845
269	0.2744757073
270	0.2742787355
271	0.2740373628
272	0.2737566372
273	0.2734659289
274	0.273311289
275	0.2731986096
276	0.2731110321
277	0.2728873978
278	0.272697476
279	0.2725095874
280	0.2723375542
281	0.2721350845
282	0.2719609613
283	0.2717594181
284	0.2715785091
285	0.2714035654
286	0.2710760504
287	0.270887342
288	0.2707294441
289	0.2706122403
290	0.2704200779
291	0.2701510485
292	0.2699554153
293	0.269727076
294	0.2695338615
295	0.2693095262
296	0.2691692458
297	0.2690296383
298	0.2686758139
299	0.2685065907
300	0.2684143483
301	0.2682809898
302	0.268040753
303	0.2678854636
304	0.2677309928
305	0.2675235904
306	0.2673182674
307	0.267134729
308	0.267018501
309	0.2668583209
310	0.2666882253
311	0.2664174502
312	0.2662182586
313	0.2659524795
314	0.2657194309
315	0.2655833233
316	0.2653043618
317	0.2650624461
318	0.2648824873
319	0.2646171006
320	0.2644288205
321	0.2642506714
322	0.2640720869
323	0.2638851424
324	0.2636935218
325	0.2635521114
326	0.2633417683
327	0.2632334876
328	0.2630556287
329	0.2629378938
330	0.2627772024
331	0.2626202582
332	0.2624451559
333	0.2623000846
334	0.2621611971
335	0.2620632693
336	0.261858022
337	0.2618138341
338	0.2617050978
339	0.2615164796
340	0.2614150951
341	0.2612249969
342	0.2610802284
343	0.2609517006
344	0.2608288839
345	0.260633758
346	0.2604941333
347	0.260362795
348	0.2602789798
349	0.2600580719
350	0.2598953628
351	0.2596454788
352	0.2595420286
353	0.2593132108
354	0.2591991433
355	0.259001058
356	0.258863643
357	0.2587475278
358	0.2585234081
359	0.2583225603
360	0.2582042056
361	0.2580221777
362	0.2578519856
363	0.2576040209
364	0.257456948
365	0.2572685507
366	0.2571777016
367	0.2569789796
368	0.2567929947
369	0.2565567052
370	0.2564061859
371	0.2562067108
372	0.2560328648
373	0.2558120541
374	0.2556474727
375	0.255355136
376	0.255199265
377	0.2550193137
378	0.2549284993
379	0.2547088473
380	0.2544786334
381	0.2542972791
382	0.2541229606
383	0.2539138384
384	0.25379144
385	0.2536533154
386	0.2533959143
387	0.2532553788
388	0.2531078397
389	0.2530127344
390	0.2528755506
391	0.2527286557
392	0.2526162452
393	0.2524864573
394	0.2523651974
395	0.2521173109
396	0.2520160229
397	0.2518222374
398	0.2516567928
399	0.2515362495
400	0.2513986765
401	0.2513129571
402	0.2511607261
403	0.2510494302
404	0.2509398419
405	0.2507445141
406	0.2506408377
407	0.2505515281
408	0.2504350271
409	0.250256586
410	0.250161952
411	0.2500044621
412	0.249845107
413	0.2496832194
414	0.2495381503
415	0.2494087078
416	0.2492438873
417	0.249087546
418	0.2489815825
419	0.2487136801
420	0.2486395243
421	0.248482855
422	0.2482139339
423	0.2481028629
424	0.2479681022
425	0.2478459405
426	0.2477877418
427	0.2476269145
428	0.2474835552
429	0.2473646204
430	0.2471345637
431	0.2470188227
432	0.2468119417
433	0.2467145165
434	0.2465206624
435	0.246379338
436	0.2462561248
437	0.2461687465
438	0.2460227241
439	0.2459367903
440	0.2457803796
441	0.2455986439
442	0.2454208686
443	0.2452173606
444	0.2451110713
445	0.2449859756
446	0.2447681083
447	0.2446565256
448	0.2445806785
449	0.2444397662
450	0.2442129914
451	0.2440291262
452	0.2438725788
453	0.2437455293
454	0.2435953023
455	0.2434659571
456	0.2433068753
457	0.2430842494
458	0.2429096449
459	0.2428118966
460	0.2426893587
461	0.2424394189
462	0.2422993185
463	0.2420942247
464	0.2419301107
465	0.2418284855
466	0.2417056628
467	0.2415540616
468	0.2414538958
469	0.241300306
470	0.2411920198
471	0.2410070275
472	0.2409196042
473	0.2407357298
474	0.2405620613
475	0.2404750318
476	0.2403287817
477	0.2401839263
478	0.2399920275
479	0.2398888967
480	0.2397172986
481	0.2395852656
482	0.2395141379
483	0.2393689288
484	0.2392251467
485	0.2390596937
486	0.2388648408
487	0.2387616519
488	0.2386152173
489	0.2384847952
490	0.2383835645
491	0.2383052531
492	0.2381901724
493	0.2380324764
494	0.2379137173
495	0.2377801375
496	0.237672254
497	0.2375449441
498	0.2374591927
499	0.237315091
500	0.2370555721
501	0.2369349146
502	0.2367292572
503	0.236602768
504	0.23651104
505	0.2363731196
506	0.2362537452
507	0.2361344682
508	0.2360122241
509	0.2358759302
510	0.2356851766
511	0.235503445
512	0.2353467786
513	0.2352452472
514	0.2351355532
515	0.2350350763
516	0.2349595094
517	0.2347989478
518	0.2346825472
519	0.2345362089
520	0.2344609214
521	0.2343476978
522	0.2342788779
523	0.2341580914
524	0.2340061067
525	0.2338158972
526	0.2337057812
527	0.2336291197
528	0.2335225126
529	0.2333886036
530	0.2332680196
531	0.2331127174
532	0.2330229804
533	0.2328350993
534	0.2327193913
535	0.2326243414
536	0.2323932052
537	0.2322446911
538	0.2321098256
539	0.2319086356
540	0.2317571938
541	0.2316309115
542	0.231478472
543	0.2313198071
544	0.2311594754
545	0.2310080367
546	0.2308521117
547	0.2307773191
548	0.230653703
549	0.2305533331
550	0.2304445584
551	0.2302727478
552	0.2300594664
553	0.2299574746
554	0.2298338477
555	0.2297648501
556	0.2296238329
557	0.2294640289
558	0.2292726357
559	0.229150387
560	0.2289365285
561	0.2287766367
562	0.2286968025
563	0.2285378023
564	0.2284089587
565	0.2281693189
566	0.2280818592
567	0.2280103947
568	0.227830485
569	0.227726599
570	0.2276228318
571	0.2274685774
572	0.227362993
573	0.227263759
574	0.2271243415
575	0.2269668968
576	0.2268622627
577	0.2268219349
578	0.2267188856
579	0.2266361354
580	0.2264764271
581	0.226351294
582	0.226244913
583	0.2261366427
584	0.2260481661
585	0.225931152
586	0.2258208773
587	0.2256636706
588	0.2255180868
589	0.2254287943
590	0.2252744701
591	0.2251476878
592	0.2250504043
593	0.2249458917
594	0.2248758017
595	0.2246989827
596	0.224493033
597	0.2243635715
598	0.2241509358
599	0.2240819307
600	0.2239188777
601	0.2237583524
602	0.2236101132
603	0.2234700482
604	0.2233845442
605	0.2232592621
606	0.2231334596
607	0.2230447991
608	0.2228926533
609	0.2226995256
610	0.2225853512
611	0.2224428983
612	0.2222718599
613	0.2221252245
614	0.2219480698
615	0.2217541365
616	0.2216145297
617	0.2214459995
618	0.2213349967
619	0.2212069316
620	0.2210650018
621	0.2209379319
622	0.2207956811
623	0.2207032754
624	0.2205933388
625	0.2204828402
626	0.220411412
627	0.2202609636
628	0.2201027273
629	0.2200029169
630	0.2197916342
631	0.2196739808
632	0.21958574
633	0.2194959712
634	0.2194260372
635	0.2192147501
636	0.2190697518
637	0.2189671577
638	0.2188462182
639	0.21876952
640	0.218676553
641	0.2185829472
642	0.2184073142
643	0.2182838191
644	0.2182181216
645	0.2181276497
646	0.2180197297
647	0.2179370164
648	0.2178330794
649	0.2177362145
650	0.2176502591
651	0.2174504192
652	0.217313032
653	0.217117795
654	0.2170133496
655	0.2168885735
656	0.2168112636
657	0.216718796
658	0.2166347588
659	0.2165257367
660	0.2164352023
661	0.216301697
662	0.2161769961
663	0.2160213382
664	0.2158744109
665	0.2157725239
666	0.2156976671
667	0.2155654531
668	0.2154863903
669	0.2153734544
670	0.2152398411
671	0.2151049372
672	0.2149766838
673	0.2148206327
674	0.2145854872
675	0.2144975683
676	0.2142615656
677	0.2141079425
678	0.2139674751
679	0.2138158304
680	0.2136679705
681	0.2135480806
682	0.2134371849
683	0.2133479774
