iter	Passed	Remaining
0	17	17409
1	25	12753
2	32	10958
3	40	10027
4	47	9407
5	54	9001
6	61	8749
7	68	8531
8	76	8402
9	83	8276
10	91	8185
11	98	8078
12	105	7987
13	112	7896
14	119	7828
15	126	7784
16	134	7754
17	141	7730
18	148	7692
19	156	7648
20	163	7621
21	170	7589
22	178	7564
23	184	7512
24	191	7485
25	199	7459
26	206	7447
27	214	7430
28	221	7413
29	228	7393
30	236	7386
31	243	7366
32	250	7352
33	258	7337
34	265	7315
35	272	7298
36	279	7271
37	286	7261
38	294	7251
39	301	7236
40	308	7221
41	316	7208
42	323	7199
43	331	7194
44	338	7186
45	345	7175
46	352	7157
47	360	7146
48	367	7134
49	374	7123
50	382	7111
51	389	7098
52	396	7089
53	403	7077
54	411	7062
55	418	7052
56	425	7038
57	433	7035
58	440	7025
59	447	7017
60	455	7007
61	461	6984
62	468	6968
63	475	6953
64	482	6936
65	488	6917
66	496	6910
67	503	6900
68	510	6891
69	517	6878
70	525	6870
71	532	6858
72	539	6847
73	546	6835
74	552	6815
75	559	6803
76	566	6791
77	573	6781
78	580	6771
79	587	6758
80	594	6747
81	601	6737
82	608	6725
83	616	6717
84	623	6710
85	630	6703
86	637	6695
87	645	6687
88	652	6680
89	660	6674
90	667	6669
91	674	6661
92	682	6653
93	689	6646
94	696	6637
95	704	6631
96	711	6622
97	718	6614
98	725	6603
99	732	6594
100	739	6584
101	747	6577
102	754	6567
103	761	6562
104	769	6559
105	776	6549
106	783	6539
107	790	6531
108	798	6524
109	805	6514
110	811	6502
111	819	6495
112	826	6488
113	834	6483
114	841	6477
115	848	6467
116	855	6459
117	863	6451
118	870	6443
119	877	6434
120	885	6432
121	893	6428
122	901	6431
123	910	6432
124	918	6428
125	925	6418
126	932	6410
127	939	6402
128	947	6398
129	954	6390
130	961	6380
131	969	6373
132	976	6366
133	983	6357
134	991	6351
135	999	6347
136	1006	6338
137	1013	6332
138	1021	6327
139	1028	6318
140	1035	6310
141	1042	6301
142	1049	6289
143	1056	6280
144	1063	6270
145	1070	6263
146	1078	6255
147	1085	6247
148	1092	6239
149	1099	6230
150	1106	6221
151	1113	6211
152	1120	6204
153	1128	6198
154	1135	6191
155	1143	6185
156	1150	6177
157	1157	6170
158	1165	6164
159	1171	6152
160	1178	6143
161	1186	6137
162	1193	6129
163	1200	6120
164	1208	6113
165	1214	6104
166	1222	6095
167	1229	6086
168	1235	6077
169	1243	6071
170	1251	6065
171	1258	6057
172	1265	6050
173	1272	6042
174	1280	6034
175	1286	6025
176	1294	6017
177	1301	6011
178	1308	6003
179	1316	5995
180	1323	5988
181	1330	5980
182	1337	5970
183	1344	5964
184	1352	5957
185	1360	5951
186	1367	5946
187	1375	5940
188	1382	5933
189	1389	5924
190	1396	5914
191	1403	5908
192	1411	5902
193	1418	5894
194	1426	5889
195	1433	5882
196	1441	5875
197	1448	5867
198	1455	5859
199	1463	5853
200	1470	5847
201	1478	5839
202	1485	5833
203	1493	5825
204	1500	5817
205	1507	5810
206	1514	5802
207	1522	5796
208	1529	5790
209	1537	5783
210	1545	5779
211	1553	5773
212	1560	5766
213	1568	5759
214	1575	5751
215	1582	5743
216	1589	5735
217	1597	5729
218	1604	5722
219	1612	5716
220	1620	5710
221	1627	5703
222	1635	5698
223	1642	5690
224	1650	5683
225	1658	5678
226	1666	5673
227	1673	5668
228	1681	5661
229	1688	5652
230	1695	5645
231	1703	5637
232	1710	5630
233	1717	5622
234	1724	5613
235	1731	5605
236	1738	5597
237	1745	5589
238	1752	5579
239	1759	5571
240	1766	5562
241	1773	5553
242	1780	5545
243	1787	5538
244	1794	5529
245	1801	5521
246	1807	5511
247	1815	5503
248	1822	5496
249	1829	5488
250	1836	5480
251	1843	5473
252	1850	5463
253	1857	5455
254	1864	5447
255	1871	5439
256	1878	5431
257	1886	5424
258	1893	5416
259	1900	5409
260	1907	5400
261	1914	5392
262	1922	5386
263	1929	5378
264	1936	5370
265	1943	5363
266	1950	5354
267	1957	5346
268	1964	5339
269	1972	5333
270	1979	5325
271	1987	5318
272	1994	5311
273	2001	5304
274	2008	5296
275	2016	5289
276	2023	5282
277	2031	5275
278	2038	5267
279	2045	5259
280	2052	5251
281	2059	5243
282	2066	5235
283	2073	5227
284	2081	5220
285	2087	5212
286	2095	5204
287	2102	5197
288	2109	5188
289	2116	5181
290	2123	5174
291	2131	5167
292	2138	5160
293	2145	5152
294	2153	5145
295	2160	5137
296	2166	5129
297	2174	5121
298	2181	5115
299	2189	5108
300	2196	5100
301	2203	5092
302	2210	5085
303	2218	5078
304	2225	5071
305	2231	5062
306	2238	5054
307	2245	5045
308	2253	5038
309	2260	5031
310	2267	5023
311	2274	5015
312	2281	5008
313	2288	5000
314	2296	4993
315	2303	4985
316	2310	4978
317	2318	4971
318	2325	4963
319	2332	4956
320	2339	4948
321	2346	4941
322	2353	4933
323	2360	4924
324	2367	4916
325	2374	4909
326	2381	4901
327	2388	4894
328	2395	4885
329	2402	4877
330	2409	4869
331	2416	4861
332	2423	4854
333	2431	4847
334	2438	4840
335	2445	4832
336	2452	4825
337	2459	4816
338	2466	4809
339	2473	4801
340	2480	4793
341	2487	4786
342	2494	4778
343	2501	4770
344	2509	4763
345	2516	4755
346	2522	4747
347	2529	4739
348	2536	4731
349	2543	4723
350	2550	4715
351	2557	4708
352	2564	4700
353	2571	4693
354	2578	4685
355	2585	4677
356	2592	4669
357	2599	4661
358	2606	4654
359	2614	4647
360	2621	4640
361	2628	4632
362	2635	4625
363	2642	4617
364	2649	4609
365	2656	4602
366	2663	4594
367	2670	4587
368	2678	4579
369	2685	4572
370	2692	4564
371	2699	4557
372	2707	4550
373	2714	4543
374	2721	4536
375	2729	4529
376	2736	4521
377	2743	4514
378	2750	4505
379	2757	4498
380	2764	4491
381	2771	4483
382	2777	4474
383	2785	4467
384	2792	4460
385	2799	4453
386	2806	4445
387	2814	4438
388	2821	4431
389	2828	4423
390	2835	4416
391	2842	4409
392	2849	4400
393	2856	4393
394	2863	4385
395	2870	4378
396	2877	4370
397	2884	4363
398	2891	4355
399	2898	4347
400	2905	4340
401	2912	4333
402	2919	4325
403	2927	4318
404	2933	4310
405	2941	4302
406	2948	4295
407	2955	4288
408	2963	4281
409	2971	4275
410	2978	4268
411	2986	4261
412	2993	4254
413	3000	4247
414	3008	4240
415	3015	4233
416	3023	4226
417	3030	4219
418	3038	4212
419	3045	4205
420	3052	4197
421	3059	4190
422	3066	4182
423	3074	4176
424	3081	4169
425	3089	4162
426	3096	4155
427	3104	4148
428	3111	4141
429	3118	4134
430	3126	4126
431	3133	4119
432	3140	4112
433	3147	4105
434	3154	4097
435	3161	4089
436	3169	4082
437	3176	4075
438	3183	4068
