iter	Passed	Remaining
0	24	48438
1	42	42603
2	60	40248
3	78	39088
4	97	38887
5	116	38630
6	133	38061
7	150	37467
8	167	36998
9	184	36729
10	201	36407
11	218	36230
12	236	36198
13	254	36064
14	272	36013
15	289	35923
16	308	36002
17	324	35741
18	341	35605
19	358	35501
20	375	35390
21	392	35278
22	408	35080
23	427	35166
24	442	34990
25	460	34926
26	475	34762
27	493	34738
28	511	34740
29	528	34689
30	545	34647
31	562	34580
32	579	34559
33	596	34518
34	614	34479
35	631	34436
36	648	34411
37	664	34316
38	680	34231
39	697	34200
40	715	34175
41	730	34031
42	747	34001
43	763	33933
44	779	33866
45	796	33819
46	814	33831
47	830	33771
48	846	33708
49	863	33678
50	879	33623
51	896	33602
52	913	33542
53	929	33482
54	946	33462
55	963	33450
56	980	33412
57	997	33394
58	1015	33394
59	1032	33375
60	1048	33336
61	1065	33310
62	1082	33293
63	1099	33264
64	1116	33228
65	1132	33199
66	1149	33170
67	1166	33150
68	1183	33126
69	1200	33109
70	1218	33114
71	1235	33095
72	1252	33069
73	1270	33064
74	1288	33062
75	1305	33041
76	1320	32978
77	1337	32950
78	1353	32914
79	1369	32858
80	1385	32833
81	1402	32800
82	1419	32789
83	1435	32751
84	1451	32698
85	1467	32669
86	1482	32604
87	1499	32580
88	1514	32528
89	1531	32494
90	1547	32466
91	1562	32404
92	1577	32353
93	1594	32331
94	1611	32316
95	1627	32282
96	1643	32238
97	1659	32211
98	1674	32161
99	1691	32132
100	1708	32127
101	1725	32114
102	1742	32100
103	1758	32061
104	1774	32020
105	1789	31981
106	1806	31968
107	1822	31931
108	1839	31918
109	1855	31882
110	1871	31847
111	1886	31801
112	1903	31784
113	1920	31766
114	1935	31727
115	1951	31694
116	1967	31671
117	1984	31652
118	2000	31627
119	2016	31591
120	2032	31556
121	2049	31541
122	2064	31502
123	2079	31467
124	2095	31431
125	2110	31390
126	2127	31369
127	2142	31340
128	2160	31329
129	2176	31308
130	2192	31276
131	2207	31233
132	2222	31203
133	2239	31185
134	2256	31178
135	2271	31136
136	2286	31098
137	2303	31076
138	2319	31050
139	2335	31023
140	2351	31001
141	2367	30982
142	2384	30964
143	2399	30926
144	2415	30902
145	2431	30875
146	2447	30852
147	2463	30822
148	2478	30793
149	2494	30771
150	2511	30755
151	2527	30734
152	2543	30708
153	2559	30675
154	2574	30649
155	2590	30624
156	2607	30606
157	2623	30580
158	2638	30554
159	2655	30534
160	2672	30523
161	2689	30513
162	2705	30488
163	2722	30478
164	2737	30440
165	2753	30417
166	2767	30381
167	2784	30360
168	2800	30338
