train_type,train_size,test_type,test_size,train_gini,test_gini
BA,30,BA,75,0.999985993823276,1.0
BA,30,BA,120,1.0,0.9997374400000001
BA,30,ER,30,1.0,1.0
BA,30,ER,75,0.9999959939067322,1.0
BA,30,ER,120,0.9999919917996027,1.0
BA,30,SW,30,0.9999979998379869,1.0
BA,30,SW,75,0.9999879941891876,1.0
BA,30,SW,120,0.9999739983358935,0.9923808000000001
BA,30,Maier,30,0.9999739837398376,0.9999836800000002
BA,30,Maier,75,0.9999939995139606,0.5447004799999999
BA,30,Maier,120,0.9999939996159757,0.9255052800000001
BA,75,BA,30,1.0,0.9996644800000001
BA,75,BA,120,1.0,0.99994848
BA,75,ER,30,1.0,0.9999999999999998
BA,75,ER,75,1.0,1.0
BA,75,ER,120,1.0,1.0
BA,75,SW,30,1.0,1.0
BA,75,SW,75,1.0,1.0
BA,75,SW,120,1.0,1.0
BA,75,Maier,30,1.0,0.9998694400000001
BA,75,Maier,75,1.0,1.0
BA,75,Maier,120,0.9999999999999998,1.0
BA,120,BA,30,1.0,0.99976416
BA,120,BA,75,1.0,0.99999872
BA,120,ER,30,1.0,1.0
BA,120,ER,75,1.0,1.0
BA,120,ER,120,0.9999939997839922,1.0
BA,120,SW,30,1.0,1.0
BA,120,SW,75,0.999997999998,1.0
BA,120,SW,120,1.0,1.0
BA,120,Maier,30,0.9999999999999998,0.9998912
BA,120,Maier,75,0.9999999999999998,1.0
BA,120,Maier,120,1.0,1.0
ER,30,BA,30,1.0,0.9706625600000001
ER,30,BA,75,1.0,0.9916011200000001
ER,30,BA,120,1.0,0.9929587200000001
ER,30,ER,75,1.0,1.0
ER,30,ER,120,1.0,1.0
ER,30,SW,30,1.0,1.0
ER,30,SW,75,1.0,1.0
ER,30,SW,120,1.0,1.0
ER,30,Maier,30,1.0,1.0
ER,30,Maier,75,1.0,1.0
ER,30,Maier,120,1.0,1.0
ER,75,BA,30,1.0,0.9683380800000003
ER,75,BA,75,1.0,0.97978992
ER,75,BA,120,1.0,0.9966430400000001
ER,75,ER,30,1.0,1.0
ER,75,ER,120,1.0,1.0
