train_type,train_size,test_type,test_size,train_gini,test_gini
BA,30,BA,75,0.5732316363389081,0.8720742399999999
BA,30,BA,120,0.5604548150326187,0.6832078399999999
BA,30,ER,30,0.5959821138357742,0.019744479999999953
BA,30,ER,75,0.6254707309144556,0.0005691199999999785
BA,30,ER,120,0.6292693471681801,0.013859839999999957
BA,30,SW,30,0.6036493649364938,0.004203680000000043
BA,30,SW,75,0.5893666573588388,0.05025184000000005
BA,30,SW,120,0.524950671281025,0.054779360000000166
BA,30,Maier,30,0.5581344865496445,0.0566419199999999
BA,30,Maier,75,0.5819102422555047,0.08916432000000007
BA,30,Maier,120,0.614986487839055,0.22645391999999998
BA,75,BA,30,0.934097687919127,0.27671808
BA,75,BA,120,0.9300919999999999,0.91187488
BA,75,ER,30,0.943980398039804,0.02359183999999992
BA,75,ER,75,0.9386441647597252,0.0023480000000000167
BA,75,ER,120,0.9480440000000001,0.03850880000000023
BA,75,SW,30,0.9489255403298631,0.01911087999999994
BA,75,SW,75,0.939684034944559,0.03836240000000002
BA,75,SW,120,0.9286023764853031,0.08182544000000003
BA,75,Maier,30,0.9507169113050435,0.027053760000000038
BA,75,Maier,75,0.9244124156091547,0.59318176
BA,75,Maier,120,0.9418411711579255,0.33403840000000007
BA,120,BA,30,0.9977139428485715,0.31570575999999995
BA,120,BA,75,0.9944249824842357,0.7569108800000002
BA,120,ER,30,0.9982101672112242,0.02702448000000013
BA,120,ER,75,0.9958815881588159,0.033171840000000063
BA,120,ER,120,0.9960699646296818,0.04830336000000002
BA,120,SW,30,0.9949956797235022,0.009571839999999998
BA,120,SW,75,0.9947888274861845,0.038353279999999934
BA,120,SW,120,0.9975962211756608,0.05683776000000007
BA,120,Maier,30,0.9963639854559416,0.03933776
BA,120,Maier,75,0.9957531271290638,0.4216815999999999
BA,120,Maier,120,0.9951866919482848,0.8123851200000001
ER,30,BA,30,0.09774644366109153,0.2971144000000001
ER,30,BA,75,0.1502521704258044,0.25617552
ER,30,BA,120,0.15521362085448343,0.9202473600000001
ER,30,ER,75,0.04092737094837928,0.0007403199999999055
ER,30,ER,120,0.17373837383738366,0.02335344000000006
ER,30,SW,30,0.08987763603749266,0.014058079999999973
ER,30,SW,75,0.06266704276294743,0.002952480000000035
ER,30,SW,120,0.1466292786540313,0.00308271999999965
ER,30,Maier,30,0.21082797513703544,0.1625040000000002
ER,30,Maier,75,0.389498351050205,0.19679103999999992
ER,30,Maier,120,0.20705182820731283,0.17564175999999998
ER,75,BA,30,0.36977210756722956,0.07447808
ER,75,BA,75,0.16032242319494627,0.2923739200000002
ER,75,BA,120,0.361102110211021,0.19852559999999997
ER,75,ER,30,0.2673706570232188,0.00862415999999988
ER,75,ER,120,0.15588810580893542,0.04910367999999998
ER,75,SW,30,0.30658303698933187,0.019481599999999988
ER,75,SW,75,0.2138069061536061,0.023177280000000078
ER,75,SW,120,0.1325209253568913,0.016664800000000035
ER,75,Maier,30,0.17455948679160715,0.03780896
ER,75,Maier,75,0.025055100220400917,0.04579264000000005
ER,75,Maier,120,0.3171109277731943,0.025355680000000103
ER,120,BA,30,0.2844472401006435,0.27696224
ER,120,BA,75,0.4111822102382745,0.67872016
ER,120,BA,120,0.4362717450869802,0.43229424000000005
ER,120,ER,30,0.2753921568627449,0.02398896000000006
ER,120,ER,75,0.2370457927326839,0.018832799999999983
ER,120,SW,30,0.41350288198705587,0.0128374400000002
ER,120,SW,75,0.30265962181423944,0.05040528000000011
ER,120,SW,120,0.36602978260717345,0.02781248000000003
ER,120,Maier,30,0.3243177270908364,0.13428127999999995
ER,120,Maier,75,0.260842985939562,0.14051552000000012
ER,120,Maier,120,0.27219521952195214,0.23258240000000008
SW,30,BA,30,0.1062993386815263,0.18334655999999994
SW,30,BA,75,0.05056445508009544,0.21166432000000013
SW,30,BA,120,0.17629126095045944,0.6675899199999997
SW,30,ER,30,0.09175600000000039,0.00581520000000002
SW,30,ER,75,0.2408736636578963,0.007613120000000029
SW,30,ER,120,0.2810669882872505,0.00903983999999991
SW,30,SW,75,0.14608970741839045,0.018399040000000033
SW,30,SW,120,0.2333058161350845,0.02896111999999995
SW,30,Maier,30,0.10010443383656309,0.0577399999999999
SW,30,Maier,75,0.27523717417334437,0.35931391999999995
SW,30,Maier,120,0.33783121491812373,0.06135344000000009
SW,75,BA,30,0.2727823663359503,0.24767216000000003
SW,75,BA,75,0.2917886686186979,0.23406159999999998
SW,75,BA,120,0.4213568673580437,0.6301252799999999
SW,75,ER,30,0.253020739946209,0.0402740800000001
SW,75,ER,75,0.38783720539528654,0.012809439999999839
SW,75,ER,120,0.2200855534709194,0.035652479999999986
SW,75,SW,30,0.2295058023209282,0.018918239999999975
SW,75,SW,120,0.3184606045696241,0.030065280000000083
SW,75,Maier,30,0.20643343160353766,0.13489584
SW,75,Maier,75,0.17189567785089888,0.19856447999999993
SW,75,Maier,120,0.05527398986363519,0.30270768000000003
SW,120,BA,30,0.38079552318209275,0.0909127999999999
SW,120,BA,75,0.32407791753144455,0.5397600000000002
SW,120,BA,120,0.30049578378746,0.42558144
SW,120,ER,30,0.37288349153396605,0.003518240000000006
SW,120,ER,75,0.34669919606766353,0.01829360000000002
SW,120,ER,120,0.2621261940191042,0.054336319999999994
SW,120,SW,30,0.2932177659370201,0.004423039999999934
SW,120,SW,75,0.42260480344323104,0.01474255999999996
SW,120,Maier,30,0.3767933767933769,0.036004480000000005
SW,120,Maier,75,0.32370009250231235,0.043473920000000055
SW,120,Maier,120,0.4046357754978154,0.5094300799999998
Maier,30,BA,30,0.49536971748225445,0.2902776
Maier,30,BA,75,0.5972616114417302,0.18902544
Maier,30,BA,120,0.5070488195278111,0.3845736000000002
Maier,30,ER,30,0.5894883280876986,0.016960160000000002
Maier,30,ER,75,0.5587615848784009,0.023815199999999925
Maier,30,ER,120,0.5525563022839084,0.016718239999999884
Maier,30,SW,30,0.547093258215662,0.02411679999999994
Maier,30,SW,75,0.5882123911520367,0.0058574399999999915
Maier,30,SW,120,0.4353397413589657,0.0009188799999999553
Maier,30,Maier,75,0.5624282497129987,0.3239433599999999
Maier,30,Maier,120,0.6206975862782764,0.2715838399999999
Maier,75,BA,30,0.8509280928092811,0.10861520000000002
Maier,75,BA,75,0.874414541000144,0.8424217600000001
Maier,75,BA,120,0.8425325827932446,0.36902448
Maier,75,ER,30,0.8560968194855014,0.007891040000000071
Maier,75,ER,75,0.8414643429487179,0.0014391999999999738
Maier,75,ER,120,0.8552747541862611,0.019649919999999987
Maier,75,SW,30,0.8590654766369159,0.005247039999999981
Maier,75,SW,75,0.854031627947925,0.012639040000000046
Maier,75,SW,120,0.8532813281328133,0.012040800000000074
Maier,75,Maier,30,0.8337150549679153,0.2751840000000001
Maier,75,Maier,120,0.8685401331299958,0.4074643199999999
Maier,120,BA,30,0.9650200697137412,0.04745584000000003
Maier,120,BA,75,0.962077591112898,0.42853231999999997
Maier,120,BA,120,0.967824810741537,0.9832640000000001
Maier,120,ER,30,0.9584600040614659,0.014194719999999883
Maier,120,ER,75,0.9594588646721538,0.010491679999999892
Maier,120,ER,120,0.9634020850521263,0.03943151999999994
Maier,120,SW,30,0.9641796776170983,0.013449600000000173
Maier,120,SW,75,0.9636822204288009,0.02681471999999996
Maier,120,SW,120,0.9611808807684188,0.002697280000000024
Maier,120,Maier,30,0.9647218588874356,0.26431055999999997
Maier,120,Maier,75,0.9620881161056449,0.5136315200000001
