train_type,train_size,test_type,test_size,train_gini,test_gini
BA,30,BA,75,1.0,1.0
BA,30,BA,120,0.9999919998719979,1.0
BA,30,ER,30,1.0,1.0
BA,30,ER,75,1.0,1.0
BA,30,ER,120,1.0,1.0
BA,30,SW,30,1.0,1.0
BA,30,SW,75,1.0,1.0
BA,30,SW,120,1.0,0.9999999999999998
BA,30,Maier,30,1.0,1.0000000000000004
BA,30,Maier,75,1.0,1.0
BA,30,Maier,120,1.0,0.99995872
BA,75,BA,30,1.0,1.0
BA,75,BA,120,1.0,1.0
BA,75,ER,30,1.0,1.0
BA,75,ER,75,1.0,1.0
BA,75,ER,120,1.0,1.0
BA,75,SW,30,0.9999999999999998,1.0
BA,75,SW,75,1.0,1.0
BA,75,SW,120,1.0,1.0
BA,75,Maier,30,1.0,1.0
BA,75,Maier,75,1.0,1.0
BA,75,Maier,120,1.0,1.0
BA,120,BA,30,1.0,0.99999584
BA,120,BA,75,1.0,0.9999999999999998
BA,120,ER,30,1.0,1.0
BA,120,ER,75,1.0,0.9999999999999998
BA,120,ER,120,1.0,1.0
BA,120,SW,30,1.0,0.9999875199999999
BA,120,SW,75,1.0,1.0
BA,120,SW,120,1.0,1.0
BA,120,Maier,30,1.0,0.9995433600000001
BA,120,Maier,75,1.0,1.0
BA,120,Maier,120,1.0,1.0
ER,30,BA,30,1.0,0.99914368
ER,30,BA,75,1.0,0.9999942400000001
ER,30,BA,120,1.0,0.9969953600000001
ER,30,ER,75,1.0,1.0
ER,30,ER,120,1.0,1.0
ER,30,SW,30,1.0,0.99999456
ER,30,SW,75,1.0,1.0
ER,30,SW,120,1.0,1.0
ER,30,Maier,30,1.0,0.9960369599999999
ER,30,Maier,75,1.0,0.9907625599999998
ER,30,Maier,120,1.0,0.93476512
ER,75,BA,30,1.0,0.9999836799999999
ER,75,BA,75,0.9999999999999998,0.9998537599999999
ER,75,BA,120,1.0,0.9998385600000002
ER,75,ER,30,1.0,1.0
ER,75,ER,120,1.0,1.0
ER,75,SW,30,1.0,0.9995699199999999
ER,75,SW,75,1.0,0.9998780799999998
ER,75,SW,120,1.0,0.99957824
ER,75,Maier,30,1.0,0.9993964800000001
ER,75,Maier,75,1.0,0.99983296
ER,75,Maier,120,1.0,1.0
ER,120,BA,30,1.0,0.9984876800000002
ER,120,BA,75,1.0,0.9996310400000001
ER,120,BA,120,1.0,0.99890032
ER,120,ER,30,1.0,1.0
ER,120,ER,75,1.0,1.0
ER,120,SW,30,1.0,0.9999811200000002
ER,120,SW,75,1.0,0.99702208
ER,120,SW,120,1.0,0.9973644799999999
ER,120,Maier,30,1.0,0.9962881600000002
ER,120,Maier,75,1.0,0.9956800000000001
ER,120,Maier,120,1.0,1.0
SW,30,BA,30,1.0,0.9999721600000002
SW,30,BA,75,1.0,0.99999232
SW,30,BA,120,1.0,0.9999942399999999
SW,30,ER,30,1.0,1.0
SW,30,ER,75,1.0,1.0
SW,30,ER,120,1.0,1.0
SW,30,SW,75,1.0,0.9999999999999998
SW,30,SW,120,1.0,1.0
SW,30,Maier,30,1.0,0.9992062399999999
SW,30,Maier,75,1.0,0.9996534399999999
SW,30,Maier,120,1.0,0.9967190399999999
SW,75,BA,30,1.0,0.9999929599999999
SW,75,BA,75,0.9999999999999998,0.9999961599999998
SW,75,BA,120,1.0,1.0
SW,75,ER,30,1.0,1.0
SW,75,ER,75,1.0,1.0
SW,75,ER,120,0.9999999999999998,1.0
SW,75,SW,30,1.0,1.0
SW,75,SW,120,1.0,0.9999999999999998
SW,75,Maier,30,1.0,0.9996230399999999
SW,75,Maier,75,1.0,0.99622688
SW,75,Maier,120,1.0,1.0
SW,120,BA,30,1.0,0.9999222399999999
SW,120,BA,75,1.0,1.0
SW,120,BA,120,1.0,0.99999744
SW,120,ER,30,1.0,1.0
SW,120,ER,75,1.0,1.0
SW,120,ER,120,1.0,0.9999999999999998
SW,120,SW,30,1.0,1.0
SW,120,SW,75,1.0,1.0
SW,120,Maier,30,1.0,0.9996531199999998
SW,120,Maier,75,1.0,0.99974144
SW,120,Maier,120,1.0,0.99673904
Maier,30,BA,30,1.0,0.99999872
Maier,30,BA,75,1.0,1.0
Maier,30,BA,120,1.0,0.9999999999999998
Maier,30,ER,30,1.0,1.0
Maier,30,ER,75,1.0,1.0
Maier,30,ER,120,1.0,1.0
Maier,30,SW,30,1.0,1.0
Maier,30,SW,75,1.0,1.0
Maier,30,SW,120,1.0,1.0
Maier,30,Maier,75,1.0,1.0
Maier,30,Maier,120,1.0,1.0
Maier,75,BA,30,1.0000000000000004,0.99987056
Maier,75,BA,75,1.0,0.99995872
Maier,75,BA,120,1.0,0.9983726399999999
Maier,75,ER,30,0.9999999999999998,1.0
Maier,75,ER,75,1.0,1.0
Maier,75,ER,120,1.0,1.0
Maier,75,SW,30,1.0,1.0
Maier,75,SW,75,1.0,1.0
Maier,75,SW,120,1.0,0.9956304
Maier,75,Maier,30,1.0,0.99836832
Maier,75,Maier,120,1.0,0.9999999999999996
Maier,120,BA,30,1.0,0.99990592
Maier,120,BA,75,1.0,0.9999984000000002
Maier,120,BA,120,1.0,1.0
Maier,120,ER,30,1.0,1.0
Maier,120,ER,75,1.0,1.0
Maier,120,ER,120,1.0,1.0
Maier,120,SW,30,1.0,1.0
Maier,120,SW,75,1.0,1.0
Maier,120,SW,120,1.0,1.0
Maier,120,Maier,30,1.0,0.9932915199999999
Maier,120,Maier,75,1.0,0.9999955199999999
