train_type,train_size,test_type,test_size,train_gini,test_gini
BA,30,BA,75,1.0,0.99997632
BA,30,BA,120,1.0,0.9986723199999998
BA,30,ER,30,0.9999979999679995,1.0
BA,30,ER,75,1.0,1.0
BA,30,ER,120,1.0,1.0
BA,30,SW,30,1.0,1.0
BA,30,SW,75,1.0,0.99365104
BA,30,SW,120,0.999997997546995,0.9999235200000001
BA,30,Maier,30,1.0,0.99998112
BA,30,Maier,75,1.0,0.5752073600000001
BA,30,Maier,120,0.9999980000000002,0.8149107199999996
BA,75,BA,30,1.0,0.9995075200000001
BA,75,BA,120,1.0,0.99997504
BA,75,ER,30,1.0,1.0
BA,75,ER,75,1.0,1.0
BA,75,ER,120,1.0,1.0
BA,75,SW,30,1.0,0.9999999999999998
BA,75,SW,75,1.0,1.0
BA,75,SW,120,1.0,1.0
BA,75,Maier,30,1.0,0.9998511999999999
BA,75,Maier,75,1.0,1.0
BA,75,Maier,120,1.0,1.0
BA,120,BA,30,1.0,0.9995534400000003
BA,120,BA,75,1.0,0.9999939200000001
BA,120,ER,30,1.0,1.0
BA,120,ER,75,1.0,1.0
BA,120,ER,120,1.0,1.0
BA,120,SW,30,1.0,1.0
BA,120,SW,75,1.0,1.0
BA,120,SW,120,1.0,1.0
BA,120,Maier,30,1.0,0.9999088
BA,120,Maier,75,1.0,1.0
BA,120,Maier,120,1.0,0.9999999999999998
ER,30,BA,30,1.0,0.9755171200000001
ER,30,BA,75,1.0,0.97155792
ER,30,BA,120,1.0,0.9931576000000002
ER,30,ER,75,1.0,1.0
ER,30,ER,120,1.0,1.0
ER,30,SW,30,1.0,1.0
ER,30,SW,75,1.0,1.0
ER,30,SW,120,1.0,0.99997472
ER,30,Maier,30,1.0,0.9999955199999997
ER,30,Maier,75,1.0,1.0
ER,30,Maier,120,1.0,1.0
ER,75,BA,30,1.0,0.8859809600000002
ER,75,BA,75,1.0,0.97693488
ER,75,BA,120,1.0,0.99852848
ER,75,ER,30,1.0,1.0
ER,75,ER,120,1.0,1.0
ER,75,SW,30,1.0,1.0
ER,75,SW,75,1.0,0.97341488
ER,75,SW,120,1.0,0.9966700800000001
ER,75,Maier,30,1.0,1.0
ER,75,Maier,75,1.0,1.0
ER,75,Maier,120,1.0,1.0
ER,120,BA,30,1.0,0.9854940799999998
ER,120,BA,75,1.0,0.9774814399999998
ER,120,BA,120,1.0,0.9831496000000002
ER,120,ER,30,1.0,1.0
ER,120,ER,75,1.0,1.0
ER,120,SW,30,0.9999999999999998,0.99999616
ER,120,SW,75,1.0,0.9960702400000003
ER,120,SW,120,1.0,0.9610884800000001
ER,120,Maier,30,1.0,0.99943552
ER,120,Maier,75,1.0,1.0
ER,120,Maier,120,1.0,1.0
SW,30,BA,30,1.0,0.9959108799999998
SW,30,BA,75,1.0,0.9986523199999999
SW,30,BA,120,1.0,0.9997487999999999
SW,30,ER,30,1.0,0.988
SW,30,ER,75,1.0,1.0
SW,30,ER,120,1.0,1.0
SW,30,SW,75,1.0,1.0
SW,30,SW,120,1.0,1.0
SW,30,Maier,30,1.0,1.0
SW,30,Maier,75,1.0,1.0
SW,30,Maier,120,1.0,1.0
SW,75,BA,30,1.0,0.9920739199999999
SW,75,BA,75,1.0,0.9940988799999999
SW,75,BA,120,1.0,0.9992502399999998
SW,75,ER,30,1.0,0.9984000000000002
SW,75,ER,75,1.0,0.7184439999999999
SW,75,ER,120,0.9999999999999998,1.0
SW,75,SW,30,1.0,1.0
SW,75,SW,120,1.0,1.0
SW,75,Maier,30,1.0,1.0
SW,75,Maier,75,1.0,0.99987392
SW,75,Maier,120,1.0,1.0
SW,120,BA,30,1.0,0.99594944
SW,120,BA,75,1.0,0.9979116799999999
SW,120,BA,120,1.0,0.98586368
SW,120,ER,30,1.0,1.0
SW,120,ER,75,1.0,0.9737416000000001
SW,120,ER,120,1.0,0.8673328000000002
SW,120,SW,30,1.0,1.0
SW,120,SW,75,1.0,1.0
SW,120,Maier,30,1.0,1.0
SW,120,Maier,75,1.0,0.9999936
SW,120,Maier,120,0.9999999999999998,1.0
Maier,30,BA,30,1.0,0.9946542399999998
Maier,30,BA,75,1.0,0.9975572800000001
Maier,30,BA,120,1.0,0.9991151999999999
Maier,30,ER,30,1.0,1.0
Maier,30,ER,75,1.0,1.0
Maier,30,ER,120,1.0,1.0
Maier,30,SW,30,1.0,1.0
Maier,30,SW,75,1.0,1.0
Maier,30,SW,120,1.0,1.0
Maier,30,Maier,75,1.0,1.0
Maier,30,Maier,120,1.0,1.0
Maier,75,BA,30,1.0,0.98149088
Maier,75,BA,75,1.0,0.99136208
Maier,75,BA,120,1.0,0.99955408
Maier,75,ER,30,1.0,1.0
Maier,75,ER,75,1.0,1.0
Maier,75,ER,120,1.0,1.0
Maier,75,SW,30,1.0,1.0
Maier,75,SW,75,1.0,0.9999503999999999
Maier,75,SW,120,1.0,0.99999872
Maier,75,Maier,30,1.0,1.0
Maier,75,Maier,120,1.0,1.0
Maier,120,BA,30,1.0,0.9535766400000001
Maier,120,BA,75,1.0,0.9915444799999997
Maier,120,BA,120,1.0,0.9990843199999997
Maier,120,ER,30,1.0,0.9959999999999998
Maier,120,ER,75,1.0,1.0
Maier,120,ER,120,1.0,1.0
Maier,120,SW,30,1.0,1.0
Maier,120,SW,75,1.0,1.0
Maier,120,SW,120,1.0,0.9989710399999998
Maier,120,Maier,30,1.0,0.9999142399999998
Maier,120,Maier,75,1.0,1.0
